Cancelled,Loan_Num,Accepted_Date,Default_Charge,Late_Charge,NSF_Charge,Premium,Down,AmtFin,FinChg,APR,Term,Mature_Date,Payments_Rcvd,Agent_ID,Borrower_ID,Borrower_State,Borrower_Zip,Agent_State,Exposure,Borrower_Category,Borrower_CreditScore,Borrower_EnrolledInEForms,Agent_RegisteredOnWeb,Agent_EnrolledInEForms,Agent_IntentEForm,Agent_CancelEForm,Agent_ReinstateEForm,Agent_PendingPolicyRequestEForm,Agent_ACHPaymentLetterEForm,Agent_RegisteredForCancelListReport,Agent_RegisteredForEimpendingReport,Agent_RecurringACHForm,Agent_EnrolledInCreditProgram,Agent_DownPaymentViaCC,Agent_DownPaymentViaACH,Borrower_RegisteredOnWeb,Borrower_DateRegisteredForWeb,Borrower_RegisteredForEForms,Borrower_DateRegisteredForEForms,Borrower_RegisteredForCancellationWarning,Borrower_DATERegisteredForCancellationWarning,Borrower_Classification,Borrower_SubTerm,Risk_Score,NoticeOfIntentToCancelDate,BankruptcyFlag,RecurringACH_TF
0,6367E770-B316-473E-AF89-427DD249ECE7,3/21/2016,0,10,0,1148,287,861,65.91,17.95,9,12/12/2016,9,74,3085266,FL,33312-3531,TX,78.32,NULL,5,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,4/24/2017,1,4/16/2015,General,General Other,B,4/18/2016,NULL,0
0,FF0EA1A7-1C91-446E-AB8E-73F9FEF88122,3/21/2016,0,0,0,9663.79,2820.62,6843.17,420.1,14.5,9,12/1/2016,9,75,3085007,TX,76906-1611,TX,18.45,NULL,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,3/15/2015,1,3/15/2015,1,3/5/2018,Real Estate,Real Estate,,NULL,NULL,0
0,5A075E28-D69F-4853-A170-4224AFE45189,3/23/2016,0,82,30,4034,1008.5,3025.5,254.5,17.95,10,12/28/2016,10,76,3084235,TX,75062-7108,TX,8.11,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Real Estate,Real Estate,,1/9/2017,NULL,0
0,4436E2A9-1055-493F-8A96-436A0292FE2C,3/29/2016,0,0,0,4500.4,2476.6,2023.8,145.56,16.95,9,12/1/2016,9,77,3101719,TX,75237-2909,TX,0,NULL,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Real Estate,Real Estate,,NULL,NULL,0
0,AD6393FB-0AED-4C80-A808-14FA80A99229,4/5/2016,0,345.72,0,13959.75,2992,10967.75,555.35,10.9,10,2/1/2017,6,78,3102118,TX,76134-5404,TX,493.5,NULL,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,5/4/2016,1,5/4/2016,Services,Church,,11/11/2016,NULL,0
1,9A5BF206-323A-49B0-BB7B-5F2FE9122F1D,4/8/2016,0,0,0,1180,568,612,48.7,16.99,10,1/5/2017,1,79,3102269,TX,75220-6646,TX,102,NULL,4,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,Personal DBA,,5/16/2016,NULL,0
0,45F6E956-A4BE-4B7B-8B30-1A9478F906EF,4/8/2016,0,722.82,0,30708,7677,23031,1063.3,9.95,10,2/1/2017,10,80,3096062,TX,75077-6909,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Real Estate,Real Estate,,1/11/2017,NULL,0
0,DE8C7C01-01EC-4568-8D7D-EC11390BE6B3,4/8/2016,15,24.08,0,3000,750,2250,157,14.95,10,2/1/2017,2,81,3102298,TX,76006-6119,TX,0,NULL,NULL,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,6/1/2016,1,6/1/2016,Real Estate,Finance,,7/11/2016,NULL,0
0,13F1AF91-B18F-4AEB-921D-0EF00467CF95,4/8/2016,0,25,0,2501,812.75,1688.25,117.85,14.95,10,2/1/2017,10,82,3102334,NJ,8053,TX,11.64,NULL,3,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,5/27/2017,1,5/29/2017,General,General Other,B,6/13/2016,NULL,0
0,19F786F3-2254-4DA7-8087-EEE1E5C99C74,4/22/2016,0,132.06,0,6619,2539.75,4079.25,323.55,16.95,10,12/28/2016,10,83,3102934,NV,89135,TX,0,NULL,2,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,12/14/2016,General,Personal DBA,NULL,1/9/2017,NULL,0
1,24E00C54-F65F-4CCE-A348-69794106B721,4/25/2016,36.23,13.68,0,4030,1495,2535,201.1,16.95,10,2/15/2017,3,84,3103000,MA,02777-3359,TX,0,NULL,NULL,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,5/16/2016,1,5/16/2016,Transportation,General Other,NULL,8/25/2016,NULL,0
0,9EC96C8E-7607-4265-B3BA-7CC6D18C5A93,4/25/2016,0,105,10,5343.87,1425.12,3918.75,280.95,15.35,10,2/16/2017,10,85,3103001,VA,23435-1772,TX,2.54,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,6/8/2016,Services,General Services,,2/23/2017,NULL,0
0,B5EC9ECE-56B2-409B-BEC9-99FAB45B7021,4/26/2016,0,0,0,9500,2850,6650,269.6,10.7,8,12/12/2016,8,86,3103030,TX,75647-2502,TX,-589,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Real Estate,Real Estate,,5/23/2016,NULL,0
0,E167D478-10FA-4416-BBA8-D9DFA44F0C2C,4/28/2016,0,0,30,1030,580,450,37.8,17.95,10,2/7/2017,10,87,3103224,TX,75150-4142,TX,0,NULL,NULL,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,5/6/2016,1,5/9/2016,General,General Other,NULL,NULL,NULL,0
0,1D673750-0F82-482C-AA5D-3CC8397EA291,5/2/2016,0,0,0,2587,517.4,2069.6,164.2,16.95,10,3/1/2017,10,88,3103323,TX,77650-1509,TX,103.48,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,General Other,,7/11/2016,NULL,0
0,26DE6CA8-EEC0-48B7-961C-D0273939D557,5/6/2016,0,0,0,6664,2374,4290,340.3,16.95,10,2/15/2017,3,89,3087908,TX,75237-2431,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,5/28/2015,Construction,General Other,NULL,NULL,NULL,0
0,C6B2EF72-ABE5-4424-AB57-9A52352C7770,5/12/2016,0,0,20,20975,5412.5,15562.5,846.7,11.7,10,2/1/2017,10,90,3103813,OK,74501-6092,TX,0,NULL,5,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Real Estate,Real Estate,NULL,NULL,NULL,0
0,A31103C1-9E03-4921-94D1-BBDA170206F4,5/12/2016,0,0,0,1654.8,413.7,1241.1,104.4,17.95,10,3/15/2017,10,91,3010438,TX,76541-3231,TX,0,NULL,4,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,6/2/2016,0,NULL,1,8/22/2014,Services,General Other,NULL,NULL,NULL,0
1,7FE4B2B9-EC04-4B22-81BE-213CD46847C8,5/24/2016,0,43.11,30,4419.05,1648.51,2770.54,210.88,16.95,10,3/19/2017,5,92,3085522,TX,77979-6227,TX,0,NULL,2,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,9/11/2015,Services,General Other,NULL,11/29/2016,NULL,0
0,25086C61-F62A-4F57-AFD3-8F56217B06E6,6/1/2016,0,4.06,0,1333,583.3,749.7,63.1,17.95,10,3/22/2017,10,93,3104654,TX,75216-4719,TX,124.95,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,General Other,,7/5/2016,NULL,0
0,AF549A39-09D7-455A-969F-A1BC7C6603BC,6/1/2016,0,3.32,0,1180,568,612,51.5,17.95,10,3/12/2017,10,94,3104655,TX,75007,TX,102,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,2/13/2017,Manufacturing,General Other,,6/22/2016,NULL,0
0,D1D72B4C-7545-4C07-A0ED-CD03DF34E91E,6/6/2016,0,4644.73,0,190780.81,35789.7,154991.11,5992.56,11,9,2/28/2017,9,95,3104886,TX,78572-7299,TX,8435.2,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,Trucking,,2/10/2017,NULL,0
0,30B08625-765D-4DDB-B6D4-459B15D456D3,6/7/2016,0,21.22,0,3346.55,1380.39,1966.16,155.94,16.95,10,4/7/2017,10,96,3104937,TX,75098-4079,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,7/7/2016,General,General Other,NULL,10/17/2016,NULL,0
0,D3840BB5-FF82-4F4A-B3B4-98C53DA041EE,6/9/2016,0,17.45,0,1369.15,724.79,644.36,54.24,17.95,10,4/10/2017,10,97,3105061,TX,78737,TX,0,NULL,3,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,9/27/2016,1,9/28/2016,Transportation,Trucking,NULL,4/20/2017,NULL,0
0,20DD09A2-2AA8-42EA-93A6-CBA71195F114,6/17/2016,0,18.48,0,2283.24,570.81,1712.43,135.87,16.95,10,4/17/2017,1,98,3089876,AL,35124-6131,TX,213.75,NULL,4,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,8/12/2016,Real Estate,Real Estate,C,8/22/2016,NULL,0
1,4C7CAD00-1D86-40A6-BED1-DF8E9A02ED37,6/27/2016,0,58.57,0,8900.1,3244.11,5655.99,413.05,16.95,10,4/24/2017,9,99,3105793,TX,75220,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,7/13/2016,General,General Other,NULL,5/4/2017,NULL,0
0,D0F72819-0C86-4ED7-922A-342A0E5149A6,6/27/2016,0,0,0,14309.95,3839.99,10469.96,349.75,7.948,9,3/10/2017,9,100,3105796,CA,94063,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Real Estate,Real Estate,,2/20/2017,NULL,0
1,76832725-E553-4B03-B787-52044AC10245,6/28/2016,0,54.4,0,8933,3249,5684,230.4,10.698,8,2/1/2017,4,101,3105847,OK,74017-3056,TX,-1122.95,NULL,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Retail Trade,Auto Retail Trade,,11/11/2016,NULL,0
0,CE94FDC1-6F31-4139-960C-43587910CB6C,7/6/2016,0,110.26,0,28510.66,7596.42,20914.24,1137.86,11.7,10,5/7/2017,10,102,3013284,TX,77642-0315,TX,0,NULL,2,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,8/10/2015,0,NULL,1,7/25/2012,Services,General Other,NULL,4/18/2017,NULL,0
0,EE9A07B1-0F85-4C35-9E66-9748FF386D1A,7/12/2016,15,98.8,0,4881,1220.25,3660.75,290.35,16.95,10,4/8/2017,10,103,3067642,OK,74701-5032,TX,834,NULL,2,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,9/14/2015,0,NULL,1,9/14/2015,Services,General Services,,11/14/2016,NULL,0
0,0D46CE7E-838A-45A3-99D0-53326BB198FD,7/13/2016,0,207.92,0,12312,2398.45,9913.55,483.35,10.5,10,5/13/2017,10,104,3091390,TX,78542-1990,TX,1583.57,NULL,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,General Transportation,,4/24/2017,NULL,0
0,C1F75960-9FA0-4ECF-8AEE-2940C935E1BC,7/13/2016,0,0,0,9853,1035.65,8817.35,503.5,13.5,9,3/26/2017,9,105,3013748,TX,75077-7076,TX,1427.6,NULL,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,7/2/2018,1,8/18/2014,Real Estate,Real Estate,,NULL,NULL,0
0,D87EB925-E9F6-44DC-99BA-59D314D62908,8/4/2016,0,0,0,1876,614.5,1261.5,106.1,17.95,10,5/29/2017,7,106,3107439,TX,75205-4511,TX,0,NULL,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,8/10/2016,1,8/10/2016,1,8/10/2016,Real Estate,Real Estate,,NULL,NULL,0
0,0F2ACEC4-F495-462C-B3E7-33765AFEA637,8/9/2016,0,0,0,1935,527,1408,89.2,13.593,10,6/12/2017,10,107,3107781,TX,75143,TX,70.4,NULL,4,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,General Other,B,NULL,NULL,0
0,58B00C9D-FF12-4160-B9C5-EE78DF1584C8,8/10/2016,0,0,0,7111.65,2025.41,5086.24,349.74,13.5,11,7/8/2017,11,108,3107829,TX,78255,TX,400.49,NULL,4,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,General Other,B,NULL,NULL,0
1,7BF69C75-DF3A-4F2F-AB5C-2348089F2BE0,8/15/2016,0,36.44,0,9573.4,2655.85,6917.55,369.85,11.5,10,5/22/2017,5,109,3108061,TX,75001-5334,TX,24.05,NULL,NULL,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,10/7/2016,1,10/7/2016,Retail Trade,Restaurant/Catering,,2/1/2017,NULL,0
0,E84ECA72-F831-4563-B9DF-BE6665EC386B,8/17/2016,0,0,0,15225,4556.25,10668.75,644.95,12.98,10,6/4/2017,10,110,3108176,TX,77705,TX,0,NULL,5,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,9/6/2016,Services,General Services,NULL,NULL,NULL,0
0,D1B04A38-4DCB-4E7A-8ECF-26BC7E20AE84,8/25/2016,0,0,0,15385,3958.75,11426.25,690.75,12.98,10,5/23/2017,10,111,3108580,TX,75455-2942,TX,0,NULL,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,8/30/2017,1,8/30/2017,1,8/30/2017,Real Estate,Real Estate,NULL,10/3/2016,NULL,0
0,E0BE2DA2-702B-459D-9FE5-9D5DA02314AF,9/2/2016,0,23.28,0,2466.85,1179.21,1287.64,109.43,19.958,9,5/24/2017,9,112,3109125,TX,75220,TX,-17.17,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,General Other,,6/5/2017,NULL,0
0,EBBFF524-67D7-4CFA-BD64-103E8663F938,9/15/2016,0,23.08,0,2852,713,2139,169.7,16.95,10,6/9/2017,8,113,3109711,TX,76180,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,Trucking,NULL,3/20/2017,NULL,0
0,37EF85B5-3956-40C7-9349-5F4921D231BA,9/16/2016,0,138.58,0,33516.51,6904,26612.51,1103.79,8.95,10,7/30/2017,10,114,3030952,TX,75043-8031,TX,1263.43,NULL,5,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,4/17/2017,0,NULL,1,4/17/2017,Real Estate,Real Estate,A,11/9/2016,NULL,0
0,C59694E4-2F87-4DA9-BDFC-AC167DAAB5DE,9/16/2016,0,0,0,49159.6,10401,38758.6,1526,8.5,10,7/30/2017,10,115,3081448,TX,75043-8031,TX,1839.92,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,5/18/2017,0,NULL,1,5/18/2017,Real Estate,Real Estate,,NULL,NULL,0
0,B59748CF-BC43-48D0-8053-AF7C94308764,9/27/2016,0,0,0,12595.8,3373.95,9221.85,417.15,9.75,10,7/23/2017,10,116,3076795,TX,75224,TX,0,NULL,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,10/20/2016,1,10/20/2016,General,Personal DBA,A,NULL,NULL,0
0,3E6F515C-A966-40E4-9AAC-456020B79E7C,9/27/2016,0,50,0,8400,2200,6200,327.1,11.35,10,7/25/2017,10,117,3077277,NJ,07852-9600,TX,0,NULL,5,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,10/24/2014,1,10/24/2014,1,10/24/2014,Services,General Other,,6/5/2017,NULL,0
1,FA8A25B4-38EE-46C4-81F7-42E50727D7FB,9/29/2016,0,4.28,0,1470,680,790,66.4,17.95,10,7/28/2017,8,118,3110548,TX,79936-5741,TX,-15.01,NULL,5,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Services,General Services,,7/10/2017,NULL,0
0,99495AE7-6638-4596-A23E-2004F09A8E38,10/5/2016,0,14.87,0,3846.5,1091.56,2754.94,218.56,16.95,10,8/1/2017,10,119,3094677,CA,93619-2715,TX,0,NULL,NULL,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,10/16/2015,1,10/19/2015,General,General Other,NULL,7/11/2017,NULL,0
0,14B6D85B-B2A3-4CE1-8591-E699A6755501,10/6/2016,0,464.96,180,17216.03,3238.28,13977.75,688.64,12,9,7/1/2017,9,120,3077629,TX,78503-7404,TX,2268.43,NULL,4,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,10/6/2016,Transportation,General Transportation,C,7/11/2017,NULL,0
0,F5639F24-AFF7-47F2-BD7A-6D0BB35F5E29,10/7/2016,0,0,0,33763,6753,27010,1120.3,8.95,10,7/30/2017,10,121,3082761,TX,77568-3723,TX,1282.59,NULL,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Real Estate,Real Estate,,NULL,NULL,0
0,D5BE3124-04F1-48B3-ABAC-A0E8B46F0171,10/12/2016,0,647.17,0,54033.95,11960.24,42073.71,1966.59,11.504,10,7/17/2017,10,122,3111232,TX,75067-4562,TX,-19.11,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Services,Professional Services,,6/27/2017,NULL,0
0,6EEE550C-60A2-4B64-9950-0A8FF2992502,10/18/2016,0,443.8,0,31643,8360.75,23282.25,1126.42,9.55,11,9/11/2017,11,123,3111442,TX,79911,TX,1891.02,NULL,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,12/12/2016,1,12/12/2016,General,General Other,B,9/21/2017,NULL,0
0,08B28140-4B05-4246-809B-DC40B80B905A,10/18/2016,0,77.83,0,21598.18,5435.83,16162.35,960.8,11.7,11,9/7/2017,11,124,3077627,TX,77346-3728,TX,1340.52,NULL,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,12/8/2015,1,12/8/2015,1,1/26/2015,Services,General Other,A,5/17/2017,NULL,0
1,2F08D64E-D4F0-4C06-8F83-542260335501,10/19/2016,0,0,0,2144,911,1233,103.7,17.95,10,7/30/2017,0,125,3111520,TX,78705,TX,0.94,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Services,General Other,,11/9/2016,NULL,0
0,5EE658FC-A52B-4E43-94B5-704E216C6510,10/21/2016,0,0,0,5707,1614.25,4092.75,294.48,16.95,9,7/16/2017,9,126,3078605,NC,28210-6019,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,11/19/2014,Construction,Specialist,NULL,NULL,NULL,0
1,FE07B112-E878-4024-B298-B5BD700F01DD,10/24/2016,0,6.09,0,737,362,375,31.5,17.95,10,7/27/2017,9,127,3111509,TX,75703-4156,TX,2.16,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Retail Trade,Grocery,,8/7/2017,NULL,0
0,2F5202B2-010A-4A48-9DA1-DAA9B008EE73,10/25/2016,0,29.4,0,2909.15,1092.82,1816.33,144.07,16.95,10,8/24/2017,9,128,3115241,TX,76259,TX,0,NULL,4,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Services,General Other,NULL,9/5/2017,NULL,0
0,4245ED44-51EF-4E1A-A9E8-83B0C9B589F5,11/3/2016,15,61.84,0,1982.71,557,1425.71,119.89,17.95,10,8/27/2017,10,129,3112249,LA,70769-5317,TX,71.58,NULL,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,12/12/2016,1,4/10/2018,1,12/12/2016,Services,General Other,C,9/1/2017,NULL,0
0,035AC844-C48A-404C-831B-6AC081D1E89B,11/4/2016,0,125.31,30,11025,3131.25,7893.75,459.25,12.5,10,8/14/2017,10,130,3112291,TX,75247-5028,TX,1.09,NULL,5,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,7/13/2017,1,11/11/2016,1,7/13/2017,Services,General Services,,4/24/2017,NULL,0
1,488B1710-EB5F-4A77-8765-6CAB9F11D78E,11/7/2016,15,88.22,0,21000,4400,16600,1043.9,13.494,10,8/30/2017,9,131,3112380,OK,74033-3911,TX,791.21,NULL,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,11/21/2016,1,11/21/2016,Real Estate,Real Estate,A,9/5/2017,NULL,0
0,1D56F1DA-2764-4234-BE21-30CFF52781A4,11/8/2016,0,0,0,12567,3770.1,8796.9,356.62,10.7,8,7/1/2017,8,132,3105412,TX,75231,TX,-779.16,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Real Estate,Real Estate,,1/11/2017,NULL,0
0,A6D0971E-C748-4C92-9634-ADC300A0E644,11/17/2016,0,0,0,8976.14,1817.32,7158.82,362.66,12,9,8/19/2017,9,133,3080026,TX,78577-7969,TX,741.15,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,General Transportation,,NULL,NULL,0
0,ACF2747C-A1AC-4B82-8040-0BFBB520BFE4,11/17/2016,0,1086.46,60,30941.49,7166.26,23775.23,1056.47,12,9,8/17/2017,9,134,3112875,TX,77474,TX,2175.71,NULL,5,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,12/16/2016,1,12/16/2016,Transportation,Trucking,B,8/28/2017,NULL,0
0,8F399364-623A-4798-AAAE-17C326A3A619,11/22/2016,0,64.17,0,5285,1321.25,3963.75,314.45,16.95,10,9/1/2017,10,135,3096062,TX,75077-6909,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Real Estate,Real Estate,,7/11/2017,NULL,0
0,47DEDEE3-1745-482E-8192-C87AF8E0E9B2,11/23/2016,0,0,0,2225,706.25,1518.75,120.45,16.95,10,9/23/2017,9,136,3113113,TX,77083,TX,5.95,NULL,NULL,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,12/17/2016,1,12/19/2016,General,General Other,,NULL,NULL,0
0,0BAD52F2-92E0-4210-B47A-61F1BC58F34C,11/29/2016,0,23.93,0,6288.35,1853.34,4435.01,351.79,16.95,10,9/1/2017,2,137,3113218,TX,75006,TX,0,NULL,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,12/16/2016,0,NULL,1,12/16/2016,Services,Recreational Services,,12/12/2016,NULL,0
0,717C229F-458C-492E-8A96-3DD0FF122AC0,11/29/2016,0,0,0,9790,2937,6853,310.68,11.951,8,7/22/2017,8,138,3113229,TX,75702-1133,TX,-606.98,NULL,5,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Services,General Services,B,1/3/2017,NULL,0
0,E106A4C4-1311-4FA8-9FC6-3B1976C20A97,12/1/2016,0,0,0,27000,5640,21360,1313.1,13.196,10,9/20/2017,10,139,3113369,TX,77058-3146,TX,1014.6,NULL,5,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Services,General Services,,NULL,NULL,0
0,EB7AEAA9-FB1D-4DAD-A0B2-3136728A9E63,12/1/2016,0,0,0,1643,746,897,75.4,17.95,10,9/13/2017,10,140,3097152,TX,77520-5377,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Services,General Services,NULL,NULL,NULL,0
0,8E6462E6-61F3-40BF-9090-303C40A1E92E,12/16/2016,0,0,0,2273,662,1611,115.92,16.95,9,9/16/2017,9,141,3034687,NC,28277-2176,TX,0,NULL,NS,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,2/10/2013,0,NULL,1,2/11/2013,Services,General Services,NULL,NULL,NULL,0
0,365FFAB7-A69B-4CEE-9ECA-FCDAAEEB8E5B,12/16/2016,0,0,0,1543.26,672.95,870.31,44.09,12,9,8/15/2017,9,142,3114040,TX,78501-5979,TX,102.39,NULL,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,General Transportation,B,NULL,NULL,0
1,F76B983C-B4A3-4CF7-BFDF-C4824C6FE5B2,12/20/2016,0,0,0,892.49,298.5,593.99,72.61,25.845,10,10/12/2017,0,143,3114136,TX,79045,TX,37.12,NULL,NS,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Services,Cleaning Services,,1/23/2017,NULL,0
0,70324996-D195-4A4B-A239-F3193AC28368,12/21/2016,15,12.09,0,3257.71,1017.57,2240.14,177.66,16.95,10,10/26/2017,10,144,3114171,CA,96022-9316,TX,0,NULL,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,2/23/2017,General,General Other,NULL,2/6/2017,NULL,0
0,F45E70EB-1224-43DB-9276-6A5B3B127E28,12/22/2016,30,142.38,0,5302.84,1537.15,3765.69,303.21,17.2,10,10/16/2017,10,145,3097610,AL,36853-4690,TX,0,NULL,NULL,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1/14/2016,1,1/14/2016,1,1/14/2016,Agriculture,General Other,NULL,10/23/2017,NULL,0
0,364692B1-DA51-4197-8544-5287FA4212C4,12/23/2016,0,9.29,0,2896.95,1136.74,1760.21,98.69,12.05,10,10/8/2017,10,146,3114316,CO,80526-2942,TX,0,NULL,3,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,1/9/2017,1,1/9/2017,General,Organization,B,9/13/2017,NULL,0
0,DC6AF313-2762-466B-8937-5947681FFC9A,12/30/2016,0,0,0,1621.2,405.3,1215.9,92.1,16.2,10,10/31/2017,10,147,3114505,TX,77385-3415,TX,138.75,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,General Other,,NULL,NULL,0
0,1193CE8F-4B3E-4F2F-AA24-FED14365C976,1/4/2017,0,0,0,3762.95,1079.49,2683.46,213.59,16.95,10,11/2/2017,10,148,3114634,FL,32701-3489,TX,9.45,NULL,2,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,General Other,B,NULL,NULL,0
0,8BA8C0F6-6CE1-4F39-8640-E67AF408700C,1/13/2017,0,0,0,3272.84,1193.21,2079.63,167.47,17.2,10,10/30/2017,10,149,3115068,TX,77726,TX,0,NULL,4,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Real Estate,Real Estate,NULL,NULL,NULL,0
1,E9ADC15D-312C-44CD-8BDC-DA436514BE9C,1/20/2017,0,163.21,0,20135.67,3994.83,16140.84,748.96,10,10,11/3/2017,8,150,3115351,TX,75217,TX,2691.14,NULL,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,Trucking,A,10/13/2017,NULL,0
